City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Port Keats,AU,2020-08-16 18:53:09,-14.25,129.55,71.33,91,0,1.05
270,Teya,RU,2020-08-16 18:53:09,60.38,92.63,56.84,51,100,3.04
271,Kamaishi,JP,2020-08-16 18:53:09,39.27,141.88,75.06,73,100,5.06
272,Scottsbluff,US,2020-08-16 18:53:09,41.87,-103.67,93.2,18,1,12.75
273,Innisfail,AU,2020-08-16 18:52:04,-17.53,146.03,60.08,58,61,4.85
274,Kuching,MY,2020-08-16 18:53:10,1.55,110.33,73.4,100,20,2.01
275,Ati,TD,2020-08-16 18:53:10,13.22,18.34,83.05,69,95,12.28
276,Xinqing,CN,2020-08-16 18:53:10,48.23,129.5,53.44,93,99,1.63
277,Teavaro,PF,2020-08-16 18:53:10,-17.5,-149.77,80.6,61,20,9.17
278,Pundaguitan,PH,2020-08-16 18:53:10,6.37,126.17,82.8,75,100,9.01
279,Greencastle,US,2020-08-16 18:53:11,39.64,-86.86,82.0,61,40,13.87
280,Mapiri,BO,2020-08-16 18:53:11,-15.25,-68.17,78.12,79,90,1.72
281,Praia Da Vitoria,PT,2020-08-16 18:53:11,38.73,-27.07,80.6,74,40,18.1
282,Maan,PH,2020-08-16 18:53:11,5.93,124.74,79.81,74,100,4.5
283,Mount Gambier,AU,2020-08-16 18:53:12,-37.83,140.77,37.4,100,100,4.7
284,Riyadh,SA,2020-08-16 18:49:34,24.69,46.72,96.8,16,2,5.82
285,Gat,IL,2020-08-16 18:53:12,31.61,34.76,82.0,44,0,3.38
286,Jagalur,IN,2020-08-16 18:53:12,14.53,76.35,69.48,94,100,20.13
287,Kawalu,ID,2020-08-16 18:53:13,-7.38,108.21,70.66,92,35,0.51
288,Wanning,CN,2020-08-16 18:53:13,18.8,110.4,80.76,85,99,4.63
289,Maraa,BR,2020-08-16 18:53:13,-1.83,-65.37,92.93,46,99,4.61
